"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"CERBERUS Esports",8,2,6,30.8,105,132,0.8,0.96,-1.04,"-9.8%",38,-13,-1037,"63%","13%","25%",3.6,"44%","38%","36%",,"25%","33%","49.4%","48.6%",3.53,1.62,1.53
"GAM Esports",12,7,5,28.5,209,181,1.15,1.14,0.6,"1.8%",57.1,1.2,1046,"58%","50%","75%",6.8,"54%","42%","63%",,"42%","38%","50.6%","53.1%",3.49,1.35,1.38
"MGN Box Esports",13,3,10,30.8,174,265,0.66,1.09,-0.6,"-4.0%",48.3,-25.2,-547,"54%","46%","23%",4.7,"46%","46%","43%",,"54%","42%","49.7%","53.5%",3.52,1.51,1.58
"Saigon Buffalo",14,7,7,30.1,180,190,0.95,0.88,0.68,"0.5%",56.2,-6.2,310,"64%","57%","43%",5.3,"43%","71%","57%","50%","50%","55%","49.3%","49.0%",3.22,1.29,1.49
"SBTC Esports",2,0,2,31.3,24,44,0.55,1.09,-0.99,"-1.3%",31,-31,-2021,"50%","0%","0%",4,"25%","100%","22%",,"50%","67%","50.6%","44.0%",3.25,1.34,1.74
"Team Flash",10,6,4,34.1,137,125,1.1,0.77,0.05,"0.8%",45.6,14.4,108,"40%","60%","70%",5.2,"70%","30%","53%","100%","70%","55%","48.7%","50.3%",3.77,1.7,1.77
"Team Secret",10,6,4,32.9,151,156,0.97,0.93,-0.84,"-1.6%",45.4,14.6,-1163,"40%","50%","60%",3.8,"45%","80%","50%","33%","30%","45%","51.1%","45.2%",3.77,1.49,1.81
"Team Whales",13,10,3,28.2,240,131,1.83,1.01,0.88,"8.7%",55.8,21.2,1008,"31%","69%","62%",5.9,"54%","31%","49%",,"62%","71%","50.9%","49.9%",3.69,1.56,1.42
