"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"aNc Outplayed",10,4,6,30.4,135,164,0.82,0.98,-0.4,"-1.7%",41.1,-1.1,-225,"30%","70%","70%",6,"75%","10%","37%",,"40%","38%","49.4%","48.8%",2.59,1.09,1.06
"Atleta Esport",10,7,3,32.5,172,121,1.42,0.9,0.4,"6.4%",49.7,20.3,224,"50%","30%","60%",3.4,"75%","50%","61%",,"60%","65%","49.9%","54.0%",2.71,0.67,1.11
"Axolotl",10,3,7,28.1,82,155,0.53,0.84,-1.11,"-10.0%",37,-7,-1503,"50%","40%","20%",4.3,"40%","40%","25%","0%","40%","40%","49.1%","48.6%",2.37,0.64,0.96
"Cyberground Gaming",10,5,5,30.2,182,139,1.31,1.06,0.8,"3.5%",60.7,-10.7,1024,"60%","70%","60%",5,"35%","60%","59%","0%","60%","47%","50.6%","50.0%",2.94,1.03,1.06
"DREN Esports",10,3,7,32.6,113,181,0.62,0.9,-2.21,"-11.3%",33,-3,-2661,"30%","20%","30%",3.6,"20%","30%","34%",,"30%","31%","49.3%","42.7%",2.55,0.82,1.04
"Dsyre Esports",10,8,2,28.4,180,91,1.98,0.95,2.47,"12.2%",78.5,1.5,3464,"90%","70%","60%",7.5,"60%","80%","64%",,"70%","69%","51.3%","54.1%",2.85,0.99,1.08
"ENEMI3S",10,1,9,29.8,121,191,0.63,1.05,-1.69,"-10.6%",29.9,-19.9,-1974,"50%","20%","10%",3.9,"30%","60%","39%","100%","20%","23%","49.0%","46.7%",2.32,0.73,0.89
"Macko Esports",10,9,1,29.1,171,116,1.47,0.98,2.01,"11.5%",70.1,19.9,1651,"40%","80%","90%",7.7,"65%","70%","79%","100%","80%","85%","51.5%","55.1%",2.9,0.85,1.15
