"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Beşiktaş Esports",9,4,5,31.9,114,96,1.19,0.73,-0.37,"1.9%",48,-3.6,-841,"44%","56%","33%",3.4,"28%","67%","69%",,"44%","62%","49.0%","51.7%",3.03,1.21,1.33
"Dark Passage",9,2,7,30.8,76,131,0.58,0.75,-1.45,"-7.2%",38.2,-15.9,-1014,"44%","22%","33%",3,"44%","22%","24%","0%","22%","15%","50.3%","43.9%",2.79,1,1.31
"Eternal Fire",9,4,5,30.6,106,114,0.93,0.8,-0.38,"-3.1%",41.1,3.3,-590,"44%","33%","56%",3,"61%","22%","53%","0%","44%","38%","49.1%","48.7%",2.99,1.2,1.2
"FUT Esports",9,3,6,31.5,103,144,0.72,0.87,-0.7,"-3.9%",36.3,-2.9,-815,"44%","44%","33%",3.7,"47%","33%","34%","100%","33%","38%","50.1%","49.1%",3.01,1.18,1.24
"Galakticos",9,4,5,32.1,96,105,0.91,0.7,-0.25,"-2.9%",46.8,-2.3,-453,"44%","44%","44%",4.3,"35%","44%","41%",,"44%","47%","49.5%","50.2%",2.92,0.9,1.22
"İstanbul Wildcats",9,8,1,27.8,139,72,1.93,0.84,2.32,"13.9%",71.8,17,2134,"56%","67%","89%",5.8,"50%","67%","66%","100%","89%","91%","52.4%","53.9%",3.07,1.12,1.67
"NASR eSports Turkey",9,7,2,32.6,126,83,1.52,0.71,0.66,"1.6%",57.3,20.5,654,"67%","56%","56%",4.2,"67%","89%","63%","50%","67%","69%","49.9%","51.0%",3.18,1.23,1.22
"Papara SuperMassive",9,4,5,34.5,112,129,0.87,0.78,0.37,"-0.2%",60.5,-16,925,"56%","78%","56%",5.1,"67%","56%","52%",,"44%","44%","49.8%","51.5%",3.4,1.38,1.66
