"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Domino esports",10,4,6,30.2,136,148,0.92,0.94,-0.93,"-3.1%",34.9,5.1,-1230,"40%","50%","30%",4.5,"40%","40%","42%","100%","40%","36%","49.7%","49.3%",2.52,0.87,0.88
"Fourth Wall",10,4,6,29.1,133,156,0.85,0.99,-0.86,"-4.5%",40.4,-0.4,-915,"40%","70%","40%",5.3,"35%","80%","44%","100%","60%","55%","49.3%","49.0%",2.8,0.99,0.98
"Nativz",10,8,2,28.9,147,82,1.79,0.79,1.71,"7.7%",66.2,13.8,1460,"70%","70%","70%",4.7,"40%","70%","62%",,"60%","69%","51.2%","56.5%",2.82,0.84,1.19
"NORD Esports",10,4,6,32.6,142,165,0.86,0.94,-0.43,"1.7%",38.5,1.5,-1048,"60%","10%","20%",4.2,"70%","20%","37%","0%","50%","50%","49.9%","48.6%",2.22,0.63,1.08
"Ruddy Esports",10,6,4,27.9,146,118,1.24,0.94,0.38,"-0.3%",50.2,9.8,-975,"60%","50%","70%",5,"50%","50%","68%","100%","60%","58%","48.2%","50.4%",2.87,0.94,1.03
"UniQ Esports Club",10,2,8,29.9,97,179,0.54,0.92,-0.71,"-8.7%",49.3,-29.3,-119,"30%","40%","60%",5.3,"60%","50%","46%","0%","20%","33%","49.9%","46.7%",2.53,0.74,1.09
"Vanir",10,3,7,32.9,135,154,0.88,0.88,-1.04,"-5.1%",43.5,-13.5,-621,"40%","30%","20%",3.6,"45%","40%","46%","50%","30%","35%","50.0%","45.3%",2.78,0.82,1.17
"Verdant",10,9,1,28.8,155,91,1.7,0.85,2.15,"12.2%",77,13,3448,"60%","80%","90%",7.1,"60%","50%","59%",,"60%","73%","51.8%","54.2%",2.65,0.84,1.07
