"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"AXIZ",13,5,8,31.7,147,194,0.76,0.82,-0.27,"-2.0%",48,-9.6,-763,"46%","46%","54%",5.2,"54%","62%","50%","100%","38%","33%","50.2%","48.0%",3.28,1.42,1.75
"Burning Core",15,7,8,30.3,174,218,0.8,0.86,-0.42,"-1.3%",48.7,-2.1,-141,"33%","60%","47%",4.5,"47%","47%","44%",,"40%","43%","50.7%","47.7%",3.09,1.36,1.48
"Crest Gaming Act",9,4,5,32.8,107,104,1.03,0.71,-0.29,"-0.9%",52,-7.6,-443,"33%","56%","44%",4.3,"83%","67%","58%","0%","56%","44%","49.2%","54.0%",3.61,1.44,1.26
"DetonatioN FocusMe",12,10,2,31,253,138,1.83,1.04,1.82,"11.4%",63.2,20.1,1836,"58%","67%","92%",5.2,"54%","42%","62%",,"67%","60%","50.8%","52.0%",3.08,1.4,1.63
"FENNEL",15,9,6,31.2,233,202,1.15,0.93,0.66,"5.6%",58.8,1.2,1184,"53%","47%","53%",4.9,"59%","33%","47%","100%","73%","63%","50.4%","50.5%",3.34,1.24,1.67
"Fukuoka SoftBank HAWKS gaming",12,8,4,33.4,185,146,1.27,0.82,0.48,"2.8%",53.2,13.5,738,"75%","58%","50%",4.5,"58%","58%","55%","0%","50%","67%","50.4%","51.1%",3.18,1.31,1.53
"Sengoku Gaming",14,7,7,29.6,173,152,1.14,0.78,-0.15,"0.9%",50.2,-0.2,-215,"43%","36%","50%",3.5,"23%","57%","63%","0%","57%","61%","50.0%","50.4%",3.12,1.27,1.31
"V3 Esports",14,2,12,28.4,94,221,0.43,0.79,-1.84,"-15.3%",28.3,-14,-2116,"57%","36%","14%",2.7,"33%","43%","25%",,"21%","25%","48.1%","48.2%",3.47,1.47,1.47
