"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Boavista FC",12,2,10,28.9,129,243,0.53,1.07,-2.8,"-16.1%",15.7,0.9,-3585,"33%","17%","8%",3.5,"17%","42%","36%",,"17%","18%","48.9%","40.7%",2.67,0.69,0.77
"BWE Esports",11,4,7,30,122,145,0.84,0.8,-0.4,"-0.5%",46.7,-10.3,-96,"55%","36%","45%",4.2,"59%","45%","36%",,"27%","29%","50.0%","47.9%",2.89,1.02,0.96
"EGN Esports",12,3,9,34.3,119,200,0.6,0.78,-0.73,"-4.4%",41.4,-16.4,-309,"75%","42%","33%",4.5,"42%","33%","32%","25%","42%","36%","50.5%","47.4%",2.86,0.76,1.19
"For The Win Esports",12,7,5,32.7,176,143,1.23,0.81,1.34,"6.3%",55.2,3.1,1300,"25%","67%","75%",4.5,"50%","33%","52%","100%","67%","67%","50.4%","58.1%",2.75,1.01,1.29
"GTZ Esports",12,12,0,27.7,236,90,2.62,0.98,2.98,"15.5%",85,15,3453,"75%","92%","92%",6.8,"67%","67%","83%",,"100%","100%","51.2%","58.9%",2.44,0.83,1.01
"Keypulse Esports",12,4,8,30.9,146,180,0.81,0.88,-0.54,"-3.8%",50.9,-17.5,-244,"42%","25%","42%",3.9,"67%","42%","49%","0%","33%","31%","48.8%","49.2%",2.38,0.68,1.12
"Odivelas Sports Club",12,6,6,33.9,159,182,0.87,0.84,-1.15,"-4.1%",38.5,11.5,-1590,"33%","50%","33%",4.3,"43%","58%","46%","67%","33%","50%","49.7%","47.5%",2.98,1,1.09
"unknown team",1,1,0,30.1,18,3,6,0.7,2.45,"23.9%",49.6,50.4,711,"100%","100%","100%",3,"50%","0%","50%",,"100%","100%","52.1%","54.9%",2.72,1.06,1.73
"White Dragons",12,9,3,30,173,94,1.84,0.74,1.34,"5.0%",66.4,8.6,1003,"58%","67%","67%",5.3,"54%","83%","70%",,"58%","67%","50.3%","49.7%",2.81,1.08,1.25
