"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Ankora Gaming",9,5,4,31.7,84,102,0.82,0.65,-0.57,"-1.5%",43.3,12.3,-308,"11%","78%","56%",5.4,"61%","44%","43%",,"56%","58%","49.5%","49.8%",2.39,0.8,1.12
"Crvena zvezda Esports",9,4,5,31.2,115,123,0.93,0.85,-0.38,"-2.6%",43,1.4,-642,"44%","11%","56%",4.1,"50%","33%","41%","0%","44%","46%","49.9%","48.0%",2.82,0.99,1.18
"Cyber Wolves",9,5,4,31,116,103,1.13,0.78,1.22,"7.5%",70.7,-15.2,2011,"56%","89%","78%",6.9,"78%","89%","56%","100%","44%","50%","50.9%","54.7%",2.83,1,1.14
"Diamant Esports",9,7,2,30.8,129,69,1.87,0.71,1.52,"12.8%",56.2,21.6,1270,"56%","67%","67%",5.6,"50%","44%","68%",,"89%","92%","51.4%","54.1%",2.6,0.75,1.21
"MAGAZA",9,1,8,26.9,62,150,0.41,0.88,-2.56,"-16.5%",22.4,-11.3,-3368,"22%","33%","11%",3,"22%","33%","33%",,"22%","20%","48.2%","40.9%",2.84,1.04,0.81
"Partizan Esports",9,8,1,32.1,132,56,2.36,0.64,1.07,"6.9%",60.4,28.5,578,"100%","33%","56%",4.9,"39%","67%","67%",,"89%","80%","51.1%","52.5%",2.65,0.98,1.21
"SPIKE Syndicate",9,5,4,31.2,130,97,1.34,0.81,0.91,"4.5%",65.1,-9.5,1609,"67%","56%","56%",4.8,"67%","44%","55%",,"44%","40%","50.5%","53.3%",2.95,0.97,1.06
"Valiance",9,1,8,31,84,156,0.54,0.86,-1.56,"-11.1%",38.9,-27.8,-1149,"44%","33%","22%",4,"33%","44%","33%",,"11%","8%","48.4%","46.8%",2.47,0.79,1
