"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"BRUTE",10,7,3,30.1,144,114,1.26,0.86,-0.89,"-3.6%",41.2,28.8,-633,"60%","40%","40%",3.8,"55%","60%","43%","100%","60%","62%","48.6%","43.9%",2.9,1.01,1.25
"Cryptova",10,1,9,30.4,74,150,0.49,0.74,-1.61,"-10.4%",33.5,-23.5,-1777,"40%","40%","30%",3,"30%","50%","40%","50%","30%","21%","48.7%","47.7%",2.46,0.59,1
"Dynamo Eclot",10,6,4,29.2,152,158,0.96,1.06,-0.11,"1.9%",55.3,4.7,299,"20%","60%","60%",3.8,"45%","60%","65%","50%","40%","33%","49.9%","52.2%",3,0.99,1.1
"Entropiq",10,10,0,28.7,199,108,1.84,1.07,2.98,"15.1%",77,23,3231,"70%","80%","90%",7.3,"70%","30%","63%",,"70%","80%","52.8%","57.7%",3.3,1.15,1.18
"eSuba",10,7,3,27.9,173,101,1.71,0.98,2.29,"13.2%",72.6,-2.6,2556,"80%","80%","90%",7.7,"80%","60%","69%",,"60%","62%","52.1%","55.3%",2.52,0.76,0.97
"Inside Games",10,0,10,27.5,105,235,0.45,1.24,-2.78,"-13.1%",13.5,-13.5,-4721,"30%","10%","10%",3.3,"10%","20%","9%","33%","10%","18%","48.6%","46.6%",2.15,0.68,0.98
"SINNERS Esports",10,6,4,29.8,179,134,1.34,1.05,1.21,"5.3%",65.4,-5.4,1761,"50%","40%","50%",5.1,"70%","70%","56%",,"80%","75%","50.5%","53.1%",3.01,1.24,1.04
"Team Sampi",10,3,7,27.8,147,174,0.84,1.16,-1.09,"-8.4%",41.6,-11.6,-716,"50%","50%","30%",4.2,"40%","50%","51%",,"40%","42%","48.8%","43.6%",2.15,0.58,1.04
