"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"All Knights",11,3,8,31.6,116,218,0.53,0.96,-2.67,"-16.9%",25.5,1.7,-2748,"55%","18%","9%",2.5,"55%","45%","37%",,"9%","24%","47.8%","41.5%",2.94,1.27,1.25
"Estral Esports",11,8,3,30.2,154,115,1.34,0.81,1.16,"10.0%",65.1,7.6,1156,"27%","91%","73%",5.7,"55%","45%","60%",,"64%","83%","51.2%","55.7%",2.93,1.16,1.53
"INFINITY",11,7,4,30.7,173,129,1.34,0.89,0.66,"4.3%",54.3,9.3,916,"45%","73%","64%",4.7,"45%","45%","44%",,"64%","62%","50.0%","51.2%",3.15,1.23,1.39
"Isurus",11,3,8,32.5,133,171,0.78,0.85,0.04,"-4.6%",52.4,-25.1,11,"73%","27%","55%",4.3,"55%","64%","47%","0%","45%","31%","49.1%","48.1%",3.25,1.28,1.26
"Leviatan",10,0,10,32,78,175,0.45,0.79,-1.29,"-9.7%",38.9,-38.9,-774,"40%","50%","30%",4.7,"40%","50%","40%",,"10%","8%","49.5%","48.4%",2.91,1.16,1.59
"Movistar R7",12,10,2,31.7,219,169,1.3,1.02,1.18,"7.8%",62.6,20.7,1028,"42%","67%","67%",4.8,"46%","67%","54%","0%","75%","75%","51.4%","54.5%",3.17,1.19,1.43
"Six Karma",12,9,3,31.9,213,125,1.7,0.88,1.19,"10.2%",60.5,14.5,585,"58%","42%","67%",4.6,"58%","67%","73%","100%","75%","74%","51.0%","54.9%",3.36,1.36,1.43
"Team Aze",10,4,6,35,118,105,1.12,0.64,-0.53,"-4.0%",36.2,3.8,-430,"60%","30%","30%",3,"45%","10%","43%","100%","20%","40%","49.8%","44.2%",3.22,1.51,1.58
